7001|Safety Goggles|12.49|Safety Equipment
7002|Electric Drill, 500W|89.99|Power Tools
7003|Paint Brush Set - 5 Pieces|14.29|Paint Supplies
7004|Wall Paint, White, 1 Gallon|28.95|Paint Supplies
7005|PVC Pipe 1" Diameter|3.99|Plumbing
7006|LED Work Light 60W|45.50|Lighting
7007|Cordless Screwdriver 4V|29.97|Power Tools
7008|Tile Cutter 14 inch|55.00|Tiling Tools
7009|Garden Shovel 45"|17.49|Gardening
7010|Pressure Washer 2000PSI|189.99|Outdoor Equipment
7011|Extension Cord 50 ft|24.99|Electrical
7012|Steel Wire Brush|5.95|Hand Tools
7013|Step Ladder 8 ft|79.50|Ladders
7014|Work Gloves Leather|11.49|Safety Equipment
7015|Insulation Tape|2.79|Electrical
7016|Circular Saw Blade 12"|29.99|Power Tool Accessories
7017|Garden Hose 50 ft|25.97|Gardening
7018|Adjustable Pipe Wrench 12"|22.95|Plumbing
7019|Sandpaper Pack of 10|7.99|Paint Supplies
7020|Digital Multimeter|34.50|Electrical
7021|Electric Sander 200W|59.99|Power Tools
7022|Chisel Set 4 Pieces|19.99|Hand Tools
7023|Concrete Mixer Portable|299.95|Construction
7024|Wood Glue 500ml|9.99|Adhesives
7025|Rubber Mallet|10.29|Hand Tools
7026|Staple Gun|21.99|Hand Tools
7027|Heavy Duty Drill Bits Set|34.97|Power Tool Accessories
7028|Plastic Tool Box 18"|22.50|Storage
7029|Metal Shelving Unit 5 Shelves|89.99|Storage
7030|Caulk Gun|8.95|Paint Supplies
7031|Waterproof Sealant|7.49|Adhesives
7032|Wall Anchors and Screws Set|4.99|Fasteners
7033|Voltage Tester|16.49|Electrical
7034|Torx Set 10 Pieces|12.99|Hand Tools
7035|Heat Gun 1500W|39.99|Power Tools
7036|Bench Vise 4"|45.00|Hand Tools
7037|Portable Generator 2000W|499.00|Outdoor Equipment
7038|Laser Level Kit|55.97|Measuring Tools
7039|Ceramic Tile Pack of 30|60.00|Tiling Supplies
7040|Fire Extinguisher 2kg|39.99|Safety Equipment
7041|Aluminum Ladder 20 ft|109.95|Ladders
7042|Crowbar 24"|17.95|Hand Tools
7043|Electric Chainsaw 14"|89.97|Power Tools
7044|Floor Tiles Vinyl Pack of 20|45.00|Tiling Supplies
7045|Outdoor Lighting Kit|75.00|Lighting
7046|Paint Roller Kit|15.99|Paint Supplies
7047|Grout Sealer 500ml|11.95|Tiling Supplies
7048|Carpet Cutter|19.50|Flooring Tools
7049|Bamboo Workbench Top 72"|139.99|Furniture
7050|Folding Sawhorse Twin Pack|49.99|Construction
